,t,V
0,1742806200.5876036,0.0164000001
1,1742806201.1500726,0.0147999991
2,1742806201.718852,0.0240000002
3,1742806202.289872,0.0196000002
4,1742806202.8566322,0.0187999997
5,1742806203.4185307,0.0211999994
6,1742806203.9839334,0.0483999997
7,1742806204.5545716,0.0411999971
8,1742806205.1208234,0.057599999
9,1742806205.6651366,0.0196000002
10,1742806206.2364538,0.0151999993
11,1742806207.354129,0.0164000001
12,1742806210.7065184,0.0335999988
13,1742806211.2661784,0.0687999949
14,1742806211.8387375,0.0203999989
15,1742806214.0882118,0.0324000008
16,1742806215.2235775,0.0143999998
17,1742806215.7744875,0.0215999987
18,1742806216.889486,0.0155999996
19,1742806217.4557092,0.0703999996
20,1742806218.0226893,0.017599998
21,1742806218.5919905,0.0183999985
22,1742806219.1567667,0.0367999971
23,1742806219.6990438,0.0148
24,1742806220.274251,0.0447999984
25,1742806220.837721,0.0592
26,1742806221.9739497,0.0411999971
27,1742806223.1086788,0.0879999995
28,1742806223.66891,0.0179999992
29,1742806224.2390068,0.0252
30,1742806224.805463,0.0179999992
31,1742806225.3726232,0.0372000001
32,1742806225.9574184,0.0359999985
33,1742806226.5333018,0.0887999982
34,1742806227.0990644,0.0284000002
35,1742806228.7570548,0.0223999992
36,1742806229.3290007,0.0879999995
37,1742806230.4491913,0.0367999971
38,1742806231.024264,0.0219999999
39,1742806231.5901895,0.0175999999
40,1742806232.151886,0.0219999999
41,1742806235.5411832,0.0172000006
42,1742806236.6906302,0.0248000007
43,1742806237.2561164,0.0151999993
44,1742806238.387689,0.0204000007
45,1742806239.5260305,0.0179999992
46,1742806240.6554718,0.0219999999
47,1742806241.7704375,0.026399998
48,1742806243.4549608,0.0151999993
49,1742806244.0203288,0.0283999983
50,1742806245.141831,0.0335999988
51,1742806245.70056,0.0391999967
52,1742806247.3860686,0.0148
53,1742806247.9526982,0.021999998
54,1742806249.0922165,0.0195999984
55,1742806250.241859,0.0387999974
56,1742806251.9261947,0.0167999994
57,1742806252.4897594,0.0148
58,1742806254.1712353,0.0883999988
59,1742806257.0545723,0.0171999987
60,1742806258.1720827,0.0228000004
61,1742806261.5251684,0.0252
62,1742806262.6383953,0.0184000004
63,1742806263.7595446,0.0335999988
64,1742806264.3247733,0.0167999994
65,1742806264.8946993,0.0199999996
66,1742806265.455967,0.0155999996
67,1742806266.574023,0.0187999997
68,1742806267.6951385,0.0143999998
69,1742806271.0215824,0.0419999994
70,1742806273.843673,0.0211999994
71,1742806274.402458,0.0339999981
72,1742806275.525064,0.0171999987
73,1742806276.0896213,0.0383999981
74,1742806277.7765498,0.0544000007
75,1742806279.4536502,0.0152000003
76,1742806280.0247743,0.0247999988
77,1742806281.1432264,0.0171999987
78,1742806281.7092338,0.0364000015
79,1742806282.2752347,0.0179999992
80,1742806282.8368266,0.0344000012
81,1742806283.9696739,0.0184000004
82,1742806285.0879858,0.0155999986
83,1742806285.6592455,0.0179999992
84,1742806287.9031248,0.019199999
85,1742806291.8442178,0.0231999978
86,1742806294.0708814,0.026399998
87,1742806295.1963391,0.0171999987
88,1742806296.322283,0.0192000009
89,1742806299.1075568,0.0416000001
90,1742806299.6792202,0.0171999987
91,1742806300.7900796,0.0271999985
92,1742806301.3555717,0.053199999
93,1742806301.9312017,0.0199999996
94,1742806305.3109033,0.0195999984
95,1742806305.8728924,0.0299999993
96,1742806307.5576837,0.0167999994
97,1742806308.660257,0.0287999995
98,1742806310.912732,0.0179999992
99,1742806311.47376,0.0435999967
100,1742806312.0390532,0.060399998
101,1742806314.8421445,0.0511999987
102,1742806316.507559,0.0403999984
103,1742806318.196752,0.0164000001
104,1742806319.3256936,0.0163999982
105,1742806319.881534,0.0159999989
106,1742806321.0093253,0.0487999991
107,1742806322.1444986,0.0348000005
108,1742806322.698923,0.0155999996
109,1742806323.258791,0.0199999996
110,1742806324.9396007,0.049999997
111,1742806326.082623,0.0139999995
112,1742806326.64018,0.0171999987
113,1742806328.32873,0.0395999998
114,1742806330.5482123,0.0223999992
115,1742806331.1106856,0.0416000001
116,1742806331.6826901,0.0399999991
117,1742806332.798932,0.0351999998
118,1742806333.9267673,0.0155999996
119,1742806337.2991605,0.0292000007
120,1742806338.9807181,0.0216000006
121,1742806341.7579722,0.0164000001
122,1742806342.89921,0.0159999989
123,1742806343.4438202,0.0259999987
124,1742806345.1156383,0.0319999978
125,1742806345.6834352,0.0155999996
126,1742806346.8082428,0.0163999982
127,1742806348.493197,0.0463999994
128,1742806349.0615203,0.0467999987
129,1742806350.7423675,0.0151999993
130,1742806351.3154023,0.0315999985
131,1742806352.4316137,0.0147999991
132,1742806353.5759397,0.0883999988
133,1742806354.1466262,0.0143999998
134,1742806356.96539,0.0184000004
135,1742806357.5303042,0.0159999989
136,1742806358.094196,0.0139999995
137,1742806358.6587217,0.0243999995
138,1742806360.3466094,0.0139999995
139,1742806360.9162853,0.0271999985
140,1742806361.4600117,0.0159999989
141,1742806362.5802598,0.0395999961
142,1742806363.1484332,0.043999996
143,1742806367.0303628,0.0736000016
144,1742806367.5793695,0.0467999987
145,1742806368.717412,0.0196000002
146,1742806369.2770755,0.0143999998
147,1742806370.399819,0.0152000003
148,1742806370.9623132,0.0148
149,1742806371.5163798,0.0328000002
150,1742806372.6426458,0.0675999969
151,1742806373.7669296,0.0167999994
152,1742806374.9326272,0.0175999999
153,1742806375.499043,0.0231999997
154,1742806376.0817049,0.0171999987
155,1742806376.668369,0.0259999987
156,1742806377.247388,0.0263999999
157,1742806378.373325,0.0148
158,1742806378.947379,0.0203999989
159,1742806380.0836377,0.0175999999
160,1742806381.2090235,0.0208000001
161,1742806381.8123238,0.0275999978
162,1742806382.3680787,0.0151999993
163,1742806382.9595966,0.0363999978
164,1742806383.536324,0.0231999997
165,1742806384.6661668,0.0207999982
166,1742806385.2445743,0.0179999992
167,1742806385.8008657,0.0343999974
168,1742806386.3762445,0.0207999982
169,1742806386.9470713,0.0343999974
170,1742806387.521873,0.0328000002
171,1742806388.0990498,0.0163999982
172,1742806390.9785824,0.0227999985
173,1742806392.66251,0.0183999985
174,1742806393.2309663,0.0267999992
175,1742806394.9199736,0.0187999997
176,1742806395.4920926,0.0184000004
177,1742806396.0668204,0.0207999982
178,1742806396.6431663,0.0387999974
179,1742806397.7767377,0.0267999992
180,1742806398.9236276,0.0208000001
181,1742806399.494189,0.0163999982
182,1742806401.7483377,0.0151999993
183,1742806402.3313718,0.0259999987
184,1742806403.45974,0.0251999982
185,1742806406.876651,0.0148
186,1742806407.4537034,0.0151999993
187,1742806409.704274,0.0171999987
188,1742806410.2801805,0.0187999997
189,1742806410.8533154,0.023599999
190,1742806412.574581,0.0879999995
191,1742806413.1518278,0.0167999994
192,1742806413.7106209,0.0184000004
193,1742806414.2707696,0.0479999967
194,1742806416.528821,0.0379999988
195,1742806417.113192,0.0215999987
196,1742806417.6678643,0.0247999988
197,1742806420.4788444,0.0295999981
198,1742806422.1874692,0.0363999978
199,1742806422.7757523,0.027999999
200,1742806423.3522592,0.0263999999
201,1742806423.9276464,0.053199999
202,1742806426.2449117,0.0148
203,1742806427.9299393,0.0167999994
204,1742806428.5088053,0.0196000002
205,1742806430.2191477,0.0263999999
206,1742806431.3472676,0.0164000001
207,1742806432.483287,0.0328000002
208,1742806435.3485262,0.0175999999
209,1742806435.9055817,0.0163999982
210,1742806437.5907283,0.0267999992
211,1742806440.4365473,0.0167999994
212,1742806441.0162346,0.0195999984
213,1742806441.5884411,0.0303999986
214,1742806442.167157,0.0179999992
215,1742806443.3025625,0.0331999995
216,1742806444.4287953,0.0419999994
217,1742806445.560301,0.0284000002
218,1742806446.688079,0.0195999984
219,1742806447.2512715,0.0331999995
220,1742806447.8072395,0.0148
221,1742806450.6529436,0.0196000002
222,1742806451.2183018,0.0423999988
223,1742806451.789507,0.0407999977
224,1742806452.9404361,0.0215999987
225,1742806454.64658,0.0296
226,1742806455.2211494,0.0876000002
227,1742806455.8161976,0.0299999993
228,1742806456.372238,0.0187999997
229,1742806463.1514642,0.0320000015
230,1742806464.8655715,0.0239999983
231,1742806468.2800605,0.0152000003
232,1742806468.854895,0.027999999
233,1742806469.410591,0.0183999985
234,1742806469.972137,0.0284000002
235,1742806472.2177453,0.0251999982
236,1742806472.800053,0.0187999997
237,1742806473.936395,0.0271999985
238,1742806474.4923267,0.0879999995
239,1742806476.2338798,0.0196000002
240,1742806476.8041494,0.0416000001
241,1742806477.384157,0.0320000015
242,1742806477.9503088,0.0263999999
243,1742806481.388375,0.0159999989
