,t,V
0,1742490794.2844155,0.423999995
1,1742490794.8772624,0.4000000358
2,1742490795.4467542,0.2080000192
3,1742490797.762678,0.5680000186
4,1742490798.89198,0.6080000401
5,1742490799.4542596,0.3599999845
6,1742490800.0373213,0.2960000336
7,1742490800.5961423,0.2640000284
8,1742490801.7381492,0.6080000401
9,1742490802.303489,0.4959999919
10,1742490802.861085,0.2240000069
11,1742490803.4371805,0.5120000243
12,1742490804.005288,0.5280000567
13,1742490804.5873425,0.3840000331
14,1742490805.1467211,0.3519999981
15,1742490805.7237473,0.2319999933
16,1742490806.2908533,0.3840000331
17,1742490806.8727164,0.5920000672
18,1742490807.4401994,0.2960000336
19,1742490808.0163743,0.3200000226
20,1742490808.5891764,0.6160000563
21,1742490809.1727445,0.2880000174
22,1742490809.7278714,0.5040000081
23,1742490810.3038294,0.3599999845
24,1742490810.8787544,0.2960000038
25,1742490811.4549792,0.3519999981
26,1742490812.0124793,0.5680000782
27,1742490812.592352,0.2639999986
28,1742490813.1636438,0.2240000069
29,1742490813.7386925,0.3520000279
30,1742490814.294389,0.2320000082
31,1742490814.8573024,0.2960000336
32,1742490815.4265847,0.3440000415
33,1742490816.0031176,0.3120000064
34,1742490817.1410437,0.6079999804
35,1742490817.7034614,0.30400002
36,1742490818.8462596,0.4480000436
37,1742490819.4196284,0.2560000122
38,1742490819.9908445,1.7840001583
39,1742490820.5535524,0.688000083
40,1742490821.1255107,0.2080000043
41,1742490821.7002437,0.3599999845
42,1742490822.262724,0.3280000091
43,1742490822.8834605,0.6080000401
44,1742490823.4436927,0.4480000138
45,1742490824.0194242,0.3680000305
46,1742490824.57924,0.2399999946
47,1742490825.71021,0.2240000069
48,1742490826.2919917,0.5920000672
49,1742490826.8559318,0.584000051
50,1742490827.4414308,0.2560000122
51,1742490827.9961407,0.5200000405
52,1742490828.5734277,0.2480000108
53,1742490829.1298323,0.2320000082
54,1742490829.7008276,0.2800000012
55,1742490830.2801108,0.2880000174
56,1742490830.855912,0.7040000558
57,1742490831.4137187,0.2560000122
58,1742490831.985157,0.5920000672
59,1742490833.1248617,0.4480000436
60,1742490834.8109136,0.6080000401
61,1742490835.3756893,0.3359999955
62,1742490835.9480233,0.2560000122
63,1742490837.0781252,0.3760000467
64,1742490837.6588826,0.5360000134
65,1742490838.227544,0.5760000348
66,1742490838.7917888,0.560000062
67,1742490839.3588452,0.4160000384
68,1742490839.9344025,0.2720000148
69,1742490840.5147128,0.3280000389
70,1742490841.7147505,0.2880000174
71,1742490842.2975857,0.30400002
72,1742490842.864321,0.5040000081
73,1742490843.4423378,0.4640000165
74,1742490844.5747597,0.536000073
75,1742490845.127302,0.3120000362
76,1742490845.6999233,0.2320000082
77,1742490846.272359,0.30400002
78,1742490846.85789,0.3840000033
79,1742490847.4113786,0.7760000229
80,1742490848.546584,0.2960000336
81,1742490849.1179323,0.2720000148
82,1742490849.681747,0.6160000563
83,1742490850.260008,0.5040000081
84,1742490850.8297398,0.423999995
85,1742490851.4102557,0.2080000192
86,1742490851.9783447,0.3519999981
87,1742490853.6927323,0.5440000296
88,1742490854.2655807,0.3520000279
89,1742490854.8424523,0.5440000296
90,1742490855.391382,0.2960000038
91,1742490856.5457332,1.7760001421
92,1742490857.1781714,0.5920000672
93,1742490857.7268493,0.3360000253
94,1742490858.3215265,0.2240000069
95,1742490858.8834558,0.4960000217
96,1742490859.51574,0.584000051
97,1742490860.0983858,0.3680000007
98,1742490860.6675117,0.3760000169
99,1742490861.2499437,0.2080000192
100,1742490861.8118563,0.560000062
101,1742490862.3823729,0.6000000238
102,1742490862.949129,0.2880000174
103,1742490863.513653,0.5040000081
104,1742490864.6473427,0.400000006
105,1742490865.1966076,0.2800000012
106,1742490865.766603,0.3280000091
107,1742490866.8837166,0.3600000143
108,1742490867.4417727,0.3200000226
109,1742490868.0158887,0.2720000148
